#TRAINERS
63504  1323   'bash' 'parry' 'second attack' 'shield' 'sword' 'axe'
60019  1800   'orcish' 'goblish' 'vyanian'
60018  1797   'unarmed' 'dagger' 'sword' 'club' 'staff' 'polearm' 'mace' 'axe' 'spear'
60021  1795  
60008  1802   'disarm' 'kick' 'punch' 'rescue' 'second attack' 'shield'
45835  1268   'ice lance' 'conflagration'
48168  1556   'continual light' 'cure blindness' 'cure critical' 'cure disease' 'cure poison' 'neutralize' 'remove curse' 'sense life' 'group serious'
  266  2132   'meteor swarm'
36193  1167   'vyanian' 'chilling touch' 'detect magic' 'faerie fire' 'fireball' 'shock'
36068   676   'eagle eye'
36117   675   'armor' 'bless' 'cure light' 'cure serious' 'detect evil' 'turn undead'
36192  1168   'goblish'
27037   677   'appraise'
27031   222   'bash' 'dagger' 'sword' 'club' 'mace' 'axe'
66008   894   'fourth attack' 'off-hand attack' 'scan' 'polearm'
30762   479   'disarm' 'third attack' 'staff' 'spear'
48245  1808   'berserk' 'guard'
20012  1116   'swimming'
  514  2183   'hide' 'pick lock' 'sneak' 'untrap'
30790  2184   'assassinate' 'backstab' 'steal'
12564   538   'ignite weapon' 'lightning bolt' 'mists of sleep' 'acid blast'
  914  1000   'blinding light' 'detect magic' 'faerie fire' 'infravision' 'magic missile' 'shock'
30031   854   'humanic' 'ogrish' 'trollish' 'goblish' 'cause light' 'detect good' 'holy wrath' 'turn undead'
19037   330   'create light' 'detect magic' 'faerie fire' 'magic missile' 'shock' 'slow' 'web'
30040   801   'blinding light' 'fireball' 'magic missile' 'slow' 'web' 'lesser summoning'
 6300  2185   'cause critical' 'neutralize' 'revitalize' 'silence'
37217  2186   'bear grasp' 'locust kick' 'shadow dance' 'trance'
48152  1549   'humanic' 'gnomish' 'identify' 'minor enchantment'
46533  2188   'create feast' 'drain life' 'gift of tongues' 'sanctify'
49338  1190   'vyanian'
33750   462   'death strike' 'slay'
 1799  2162   'mounted fighting' 'regeneration'
31318  2205   'spin kick' 'stun' 'transfer energy'
48127  1576   'animate clay' 'call lightning' 'heal' 'purify'
56030  1465   'surcease' 'water breathing'
48245  2206   'fear' 'ion shield'
48245  2204   'resist fire' 'resist cold' 'resist acid' 'resist shock' 'conjure elemental'
48245  2256   'major enchantment'
69040  2257   'demon slash' 'fifth attack'
33325   474   'protection plants'
47806  2258   'protect life' 'protect evil' 'protect good'
-1

#$

